[EXP] 0: [success_rate]: 0, [progress_rate]: 0.8333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 241: [success_rate]: 0, [progress_rate]: 0.3777777777777777, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 242: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 243: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 244: [success_rate]: 0, [progress_rate]: 0.5833333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 245: [success_rate]: 0, [progress_rate]: 0.6666666666666666, [grounding_acc]: 0.25, [score_state]: [] 
[EXP] 246: [success_rate]: 0, [progress_rate]: 0.3333333333333333, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 247: [success_rate]: 0, [progress_rate]: 0.4444444444444444, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 248: [success_rate]: 1, [progress_rate]: 1.0, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 249: [success_rate]: 0, [progress_rate]: 0.3777777777777777, [grounding_acc]: 1.0, [score_state]: [] 
[EXP] 250: [success_rate]: 0, [progress_rate]: 0.7777777777777778, [grounding_acc]: 1.0, [score_state]: [] 
